pid,seed,cost,incb
0,578,35.094226,"{'avg_value': 0.0, 'avg_value_by_weight': 0.0, 'max_value': 0.0, 'max_value_by_weight': 0.0, 'min_value': 0.0, 'min_value_by_weight': 0.0, 'weight': -1.0}"
1,578,10.521761,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
2,578,38.400049,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
3,578,23.178703000000002,"{'avg_value': -0.7619457105978693, 'avg_value_by_weight': 0.7111407941732144, 'max_value': -0.5613536837047737, 'max_value_by_weight': 0.6839592402728383, 'min_value': 0.4090100698973944, 'min_value_by_weight': -0.47282001516031524, 'weight': 0.07969310821862075}"
4,578,21.110281,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
5,578,10.269038,"{'avg_value': -0.8649625683287687, 'avg_value_by_weight': 0.7145680544865849, 'max_value': -0.6104862900848615, 'max_value_by_weight': -0.1855499112241339, 'min_value': 0.41121148796443663, 'min_value_by_weight': 0.41073954978714844, 'weight': 0.6725568685677663}"
6,578,9.894049,"{'avg_value': -0.7883448074739048, 'avg_value_by_weight': 0.6816962669137212, 'max_value': -0.9222044189019952, 'max_value_by_weight': 0.687222650866359, 'min_value': 0.6450871403882772, 'min_value_by_weight': -0.058106530314520066, 'weight': 0.10190241155786439}"
7,578,16.799635,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
8,578,8.455788,"{'avg_value': -0.8155340642706941, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.7838770848169123, 'max_value_by_weight': -0.3208520008992032, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.12890619091409028}"
9,470,40.544056999999995,"{'avg_value': -0.6785447075973894, 'avg_value_by_weight': 0.43398743973531295, 'max_value': -0.6790526114175703, 'max_value_by_weight': 0.03680013615762889, 'min_value': 0.7490077515876474, 'min_value_by_weight': 0.20433527809673446, 'weight': -0.16288437019536683}"
10,578,12.937182,"{'avg_value': -0.6351411400645335, 'avg_value_by_weight': 0.7412699813786598, 'max_value': -0.9584185889931447, 'max_value_by_weight': -0.0937692645007937, 'min_value': 0.9541394762170448, 'min_value_by_weight': 0.7466641328209913, 'weight': 0.10067684764489826}"
11,470,12.419341,"{'avg_value': -0.6468410532496556, 'avg_value_by_weight': 0.7516380730521468, 'max_value': -0.8435260732071107, 'max_value_by_weight': 0.31541796338545836, 'min_value': 0.7259713427773984, 'min_value_by_weight': 0.49041781732938117, 'weight': -0.050360566975729104}"
12,578,59.473132,"{'avg_value': -0.7619457105978693, 'avg_value_by_weight': 0.7111407941732144, 'max_value': -0.5613536837047737, 'max_value_by_weight': 0.6839592402728383, 'min_value': 0.4090100698973944, 'min_value_by_weight': -0.47282001516031524, 'weight': 0.07969310821862075}"
13,578,9.304948,"{'avg_value': -0.38893184982732976, 'avg_value_by_weight': 0.652213400035369, 'max_value': -0.9849817170041069, 'max_value_by_weight': 0.37135010441235994, 'min_value': 0.8029481870819786, 'min_value_by_weight': 0.5453287411697363, 'weight': 0.2047440241528009}"
14,578,31.682684,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
15,578,24.377299,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
16,578,19.745908,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
17,578,7.527099,"{'avg_value': -0.8363913579935095, 'avg_value_by_weight': 0.9902250328281315, 'max_value': -0.944983313037669, 'max_value_by_weight': -0.05917677882799244, 'min_value': 0.3296576498353234, 'min_value_by_weight': 0.8994270804189515, 'weight': 0.42307513262254237}"
18,578,75.817511,"{'avg_value': -0.7619457105978693, 'avg_value_by_weight': 0.7111407941732144, 'max_value': -0.5613536837047737, 'max_value_by_weight': 0.6839592402728383, 'min_value': 0.4090100698973944, 'min_value_by_weight': -0.47282001516031524, 'weight': 0.07969310821862075}"
19,470,38.028445,"{'avg_value': -0.6785447075973894, 'avg_value_by_weight': 0.43398743973531295, 'max_value': -0.6790526114175703, 'max_value_by_weight': 0.03680013615762889, 'min_value': 0.7490077515876474, 'min_value_by_weight': 0.20433527809673446, 'weight': -0.16288437019536683}"
20,578,40.810404999999996,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
21,578,5.751268,"{'avg_value': -0.8664901846078559, 'avg_value_by_weight': 0.6417212307500206, 'max_value': -0.981990091095734, 'max_value_by_weight': -0.1198585613567773, 'min_value': 0.5981359655549503, 'min_value_by_weight': 0.5976777986631816, 'weight': 0.35785439999621493}"
22,578,11.295536,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
23,578,18.778174,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
24,470,15.872699,"{'avg_value': -0.6169337780971171, 'avg_value_by_weight': 0.4485490569985231, 'max_value': -0.9286748150213324, 'max_value_by_weight': 0.04644159178399021, 'min_value': 0.6989013894828413, 'min_value_by_weight': 0.9928897590367902, 'weight': -0.40238413239957305}"
25,3345,11.284656,"{'avg_value': -0.8426404484432181, 'avg_value_by_weight': 0.902922683683159, 'max_value': -0.5798490056375867, 'max_value_by_weight': 0.7874428108124938, 'min_value': 0.686828972806862, 'min_value_by_weight': 0.03444886110230616, 'weight': 0.31723204964503693}"
26,578,9.571963,"{'avg_value': -0.8166266852278709, 'avg_value_by_weight': 0.5657787330650024, 'max_value': -0.6804778996151275, 'max_value_by_weight': -0.6838237683927992, 'min_value': 0.443386572545138, 'min_value_by_weight': 0.9398367555377998, 'weight': 0.32365711058233115}"
27,3345,9.157302,"{'avg_value': 0.13758516663976983, 'avg_value_by_weight': -0.13712824979139637, 'max_value': -0.9679948191490617, 'max_value_by_weight': 0.5953100954960564, 'min_value': 0.21162960337146797, 'min_value_by_weight': 0.7039036090688806, 'weight': 0.562587180564325}"
28,3345,7.240734,"{'avg_value': -0.4304380664653691, 'avg_value_by_weight': 0.8523245712529917, 'max_value': -0.8407874914513531, 'max_value_by_weight': 0.8401264353182729, 'min_value': 0.9504031504109205, 'min_value_by_weight': 0.4124187044077685, 'weight': 0.8207781530150735}"
29,578,15.485915,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
30,3345,13.90765,"{'avg_value': 0.43439618267876723, 'avg_value_by_weight': 0.9477942860775361, 'max_value': -0.9391928084832579, 'max_value_by_weight': -0.13620752748277432, 'min_value': -0.15013578659723703, 'min_value_by_weight': 0.9468774744895014, 'weight': 0.3196280777502163}"
31,578,16.014127,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
32,1337,14.534407999999999,"{'avg_value': 0.054717408411625534, 'avg_value_by_weight': 0.9059163262343282, 'max_value': -0.6614794511958435, 'max_value_by_weight': -0.017349159775132295, 'min_value': 0.2662916159146478, 'min_value_by_weight': 0.3176446813595808, 'weight': 0.41468344621245445}"
33,578,17.432795000000002,"{'avg_value': -0.8091169068322444, 'avg_value_by_weight': 0.7743777133755467, 'max_value': -0.9431350282447126, 'max_value_by_weight': -0.032545302493439454, 'min_value': 0.817824996990254, 'min_value_by_weight': 0.7668562839467472, 'weight': 0.457748225151674}"
34,578,12.455395,"{'avg_value': -0.6896473640532643, 'avg_value_by_weight': 0.9434594427152891, 'max_value': -0.9357560427537964, 'max_value_by_weight': -0.04151474806051614, 'min_value': 0.7547064395084795, 'min_value_by_weight': 0.992039806910739, 'weight': 0.46925164244641504}"
